code,label_en,usage_count,full_uri
EXT,External relations,35153,http://publications.europa.eu/resource/authority/subject-matter/EXT
CONC,Competition,30201,http://publications.europa.eu/resource/authority/subject-matter/CONC
AGRI,Agriculture and Fisheries,28411,http://publications.europa.eu/resource/authority/subject-matter/AGRI
PCOM,Commercial policy,25369,http://publications.europa.eu/resource/authority/subject-matter/PCOM
RAPL,Approximation of laws,23089,http://publications.europa.eu/resource/authority/subject-matter/RAPL
MARI,Internal market - Principles,20161,http://publications.europa.eu/resource/authority/subject-matter/MARI
ENV,Environment,19188,http://publications.europa.eu/resource/authority/subject-matter/ENV
MERG,Concentrations between undertakings,16655,http://publications.europa.eu/resource/authority/subject-matter/MERG
TRAN,Transport,16474,http://publications.europa.eu/resource/authority/subject-matter/TRAN
PESC,Common foreign and security policy,16289,http://publications.europa.eu/resource/authority/subject-matter/PESC
PROT,Consumer protection,15531,http://publications.europa.eu/resource/authority/subject-matter/PROT
INST,Provisions governing the Institutions,14400,http://publications.europa.eu/resource/authority/subject-matter/INST
PECH,Fisheries policy,13386,http://publications.europa.eu/resource/authority/subject-matter/PECH
AIDE,State aids,13272,http://publications.europa.eu/resource/authority/subject-matter/AIDE
FIN,Financial provisions,10580,http://publications.europa.eu/resource/authority/subject-matter/FIN
BUDG,Budget,10464,http://publications.europa.eu/resource/authority/subject-matter/BUDG
VETE,Veterinary legislation,10376,http://publications.europa.eu/resource/authority/subject-matter/VETE
FISC,Taxation,9681,http://publications.europa.eu/resource/authority/subject-matter/FISC
SOCI,Social provisions,9180,http://publications.europa.eu/resource/authority/subject-matter/SOCI
ADH,Accession,9168,http://publications.europa.eu/resource/authority/subject-matter/ADH
SANT,Public health,8999,http://publications.europa.eu/resource/authority/subject-matter/SANT
LES,Freedom of establishment,8831,http://publications.europa.eu/resource/authority/subject-matter/LES
PROP,"Intellectual, industrial and commercial property",8375,http://publications.europa.eu/resource/authority/subject-matter/PROP
AELE,European Free Trade Association (EFTA),8316,http://publications.europa.eu/resource/authority/subject-matter/AELE
LCM,Free movement of goods,8038,http://publications.europa.eu/resource/authority/subject-matter/LCM
